Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance
LOAN00001,1,Personal Loan,742865,72,9.67,13638,6207,2021-04-07,Default,1,22,2341378,1,Married,Postgraduate,16,503092,178191,6,0,1455687,533313,0.82,2,7,2,1,1,3,30,942667,219,44,Poor,4,0.38,83,35,586300,589955,Monthly,177409,166531,86029,0.2303,7,15,98,43,0,Poor,0.2087,4,4,90,90,90,90+ DPD,61-90 DPD,0,54,,,,,,,
LOAN00002,2,Personal Loan,699903,48,10.29,17848,6072,2021-02-18,Active,0,56,1247861,21,Single,High School,6,67739,366445,10,3,251599,1073910,0.26,0,5,0,0,0,0,40,1309553,111,44,Good,0,0.65,88,92,43957,46433,Irregular,107337,102273,10277,0.6292,0,4,136,29,8,Good,0.9817,0,0,0,0,0,Current,Current,1,55,,,,,,,
LOAN00003,3,Personal Loan,1784595,48,17.27,51744,23019,2020-02-14,Active,0,61,1936538,19,Divorced,High School,2,60295,472263,3,3,2171645,1589031,0.23,0,5,0,0,0,0,33,1616521,230,12,Poor,1,0.44,27,88,62414,49055,Bi-Monthly,166977,146931,6616,0.5322,3,0,85,10,1,Poor,0.2081,1,0,0,90,90,Current,61-90 DPD,0,39,,,,,,,
LOAN00004,4,Home Loan,232758,36,9.7,7477,1441,2022-05-12,Active,0,30,1832462,2,Divorced,Postgraduate,19,751606,260856,8,0,2324053,1880721,0.9,2,5,0,0,0,2,41,1322494,139,4,Good,3,0.56,43,88,761347,756574,Monthly,143882,111004,46053,0.14,3,4,61,15,3,Good,0.9152,3,3,0,60,90,Current,31-60 DPD,0,49,Residential Property,385713.0,0.6034,Apartment,,Tier-2,Yes
LOAN00005,5,Personal Loan,1701348,12,10.1,149654,22821,2020-01-02,Active,0,61,2307475,13,Married,Postgraduate,10,971640,25690,2,1,592496,484719,0.9,0,1,0,0,0,0,13,1158714,122,34,Poor,0,0.95,6,43,992580,1005178,,196818,102391,186355,0.5012,0,4,128,84,2,Poor,0.2333,0,0,0,15,15,Current,Current,0,22,,,,,,,
LOAN00006,6,Home Loan,328501,24,10.55,15242,6321,2020-04-16,Active,0,39,573064,27,Married,High School,11,494720,333453,9,7,883264,653346,0.67,1,4,1,1,0,2,49,1792307,197,39,Good,1,0.65,18,30,574070,572985,,49999,58713,114286,0.6887,2,3,124,7,2,Good,0.8994,1,0,30,30,30,31-60 DPD,1-30 DPD,0,32,Residential Property,468261.0,0.7015,Apartment,,Tier-3,Yes
LOAN00007,7,Personal Loan,830250,36,14.25,28476,11757,2020-05-23,Active,0,25,1698040,25,Married,Graduate,12,532478,338907,11,6,1060389,1450672,0.09,4,9,0,0,0,1,28,1002923,173,37,Good,1,0.95,2,46,592867,621268,Monthly,131885,103276,137098,0.5586,1,0,134,44,3,Good,0.8157,1,0,0,0,0,Current,Current,0,35,,,,,,,
LOAN00008,8,Home Loan,574475,12,11.31,50856,9887,2019-09-30,Closed,0,26,1444381,6,Divorced,PhD,12,119123,45644,7,5,401025,1514738,0.39,0,3,2,2,2,0,41,1899523,51,7,Average,2,0.2,5,93,74797,95178,Monthly,128477,83541,25561,0.3642,2,0,49,54,7,Average,0.8211,2,1,90,90,90,90+ DPD,61-90 DPD,0,45,Residential Property,814990.0,0.7049,Apartment,,Tier-1,Yes
LOAN00009,9,Home Loan,82465,36,11.99,2738,1643,2019-06-27,Active,0,22,891582,25,Married,High School,17,958080,253181,1,7,2172933,650576,0.16,3,4,0,0,0,1,22,1717354,183,19,Good,0,0.57,59,15,970938,953347,,69596,64780,234764,0.3712,0,0,102,68,9,Good,0.9864,0,0,0,90,90,Current,61-90 DPD,0,59,Residential Property,93056.0,0.8862,Apartment,,Tier-1,Yes
LOAN00010,10,Education Loan,1935893,36,7.0,59774,35032,2020-05-29,Default,1,44,2348745,18,Divorced,Postgraduate,13,246046,62243,9,4,2596941,1174673,0.81,1,2,0,0,0,1,37,523059,181,57,Good,1,0.71,69,98,338899,348906,Bi-Monthly,185943,152489,99089,0.4652,2,5,147,14,7,Good,0.9372,1,1,0,0,60,Current,Current,0,21,,,,,,,
LOAN00011,11,Personal Loan,661053,60,7.0,13089,10806,2021-02-23,Default,1,56,391629,20,Divorced,Graduate,13,570328,331790,11,1,2591963,1692520,0.26,4,8,2,2,1,2,8,1101891,115,39,Average,0,0.0,98,57,662966,653251,,33077,36632,27082,0.6433,2,7,90,54,0,Average,0.588,0,0,90,90,90,90+ DPD,61-90 DPD,0,28,,,,,,,
LOAN00012,12,Personal Loan,209672,12,10.08,18441,2798,2021-12-23,Active,0,22,558907,7,Divorced,PhD,2,841501,301930,1,1,1123763,2116327,0.25,0,4,0,0,0,0,9,1971744,165,18,Good,2,0.7,18,52,901055,898018,Irregular,44088,24485,141142,0.3074,2,0,121,96,2,Good,0.8127,2,1,0,15,15,Current,Current,0,46,,,,,,,
LOAN00013,13,Home Loan,892781,60,12.17,19936,17268,2022-11-02,Active,0,50,428317,15,Single,Graduate,3,660855,315279,5,5,2796319,1770074,0.61,4,8,0,0,0,0,31,1192021,108,12,Average,3,0.53,49,72,634930,660705,Monthly,35810,24516,131444,0.3942,2,3,64,89,4,Average,0.7925,3,3,0,0,15,Current,Current,0,8,Residential Property,1348965.0,0.6618,Apartment,,Tier-3,Yes
LOAN00014,14,Auto Loan,733266,36,10.38,23791,13502,2022-12-05,Closed,0,59,1837904,19,Single,High School,14,56795,50682,9,3,1436393,1648356,0.82,1,2,0,0,0,0,19,1212114,193,44,Good,1,0.68,79,29,85959,59994,Bi-Monthly,157487,111059,15303,0.6537,0,0,13,96,7,Good,0.9919,1,1,0,0,0,Current,Current,0,23,Vehicle,1030716.0,0.7114,,8.0,Tier-3,Yes
LOAN00015,15,Business Loan,659127,12,10.61,58134,4256,2022-01-08,Default,1,64,1499765,12,Divorced,Graduate,3,934069,277167,8,3,2230011,1156672,0.61,3,6,0,0,0,0,5,1327291,227,15,Average,2,0.05,93,12,892843,904621,Irregular,117721,88223,41526,0.2882,5,18,21,63,8,Average,0.603,2,1,0,0,90,Current,Current,0,49,Machinery,855117.0,0.7708,,,Tier-2,Yes
LOAN00016,16,Home Loan,1048051,72,9.27,19032,5527,2019-07-03,Active,0,44,515452,28,Married,Postgraduate,14,710535,39604,11,0,2638696,200579,0.28,3,4,2,1,0,0,32,898530,19,19,Good,0,0.21,24,71,684179,655840,Bi-Monthly,39538,19448,2888,0.6737,2,4,169,62,9,Good,0.9108,0,0,30,90,90,31-60 DPD,61-90 DPD,0,66,Residential Property,1538654.0,0.6811,Plot,,Tier-3,No
LOAN00017,17,Home Loan,1331142,12,11.13,117729,24038,2022-07-01,Default,1,23,618776,18,Married,Postgraduate,16,383186,447620,1,6,1827944,1090604,0.62,3,4,1,1,1,1,58,414581,66,3,Good,2,0.08,98,93,467975,474180,,51606,32101,34927,0.6386,3,6,101,79,2,Good,0.9452,2,1,60,60,60,61-90 DPD,31-60 DPD,0,71,Residential Property,2314955.0,0.575,Apartment,,Tier-1,Yes
LOAN00018,18,Auto Loan,115620,12,7.0,10004,1207,2021-09-29,Active,0,21,1486684,21,Married,PhD,18,741687,235969,10,1,1340534,1749554,0.26,0,4,0,0,0,2,18,1604525,125,36,Good,0,0.99,3,71,794295,818330,Monthly,124651,140587,73525,0.7237,1,4,169,62,8,Good,0.8397,0,0,0,0,60,Current,Current,0,35,Vehicle,176278.0,0.6559,,3.0,Tier-2,Yes
LOAN00019,19,Personal Loan,1018126,36,10.76,33216,19015,2020-02-13,Closed,0,33,2240728,17,Single,Graduate,14,551679,199870,9,3,782371,408372,0.54,2,2,0,0,0,2,34,1146793,192,56,Average,0,0.88,21,67,626444,641426,Bi-Monthly,182600,167313,141850,0.6054,0,4,27,76,9,Average,0.6236,0,0,0,0,15,Current,Current,0,1,,,,,,,
LOAN00020,20,Home Loan,1605121,24,10.76,74632,25804,2021-05-13,Active,0,61,1947821,7,Single,Graduate,15,470683,365218,6,6,2444279,1766446,0.51,2,3,0,0,0,1,32,553899,229,19,Poor,1,0.03,85,45,545582,573447,Bi-Monthly,172886,201770,59522,0.4095,1,1,102,69,6,Poor,0.2145,1,1,0,0,0,Current,Current,0,61,Residential Property,1957633.0,0.8199,Independent House,,Tier-1,Yes
LOAN00021,21,Education Loan,1806045,36,11.76,59779,21803,2022-06-09,Closed,0,29,828048,26,Single,Postgraduate,15,195154,482536,2,3,2859915,1284005,0.14,3,6,0,0,0,0,24,95625,108,56,Poor,4,0.16,65,5,211187,240261,Monthly,69420,56559,408,0.6074,3,4,105,14,7,Poor,0.4543,4,3,0,0,90,Current,Current,0,47,,,,,,,
LOAN00022,22,Auto Loan,1102480,36,12.45,36855,16879,2022-04-20,Closed,0,41,862723,23,Married,Postgraduate,8,415115,17547,10,3,466119,1070220,0.65,3,7,0,0,0,0,18,965763,198,11,Average,0,0.95,53,69,399454,388175,Bi-Monthly,71713,59151,16598,0.4036,0,2,97,80,5,Average,0.6555,0,0,0,15,15,Current,Current,0,51,Vehicle,1505821.0,0.7321,,10.0,Tier-3,No
LOAN00023,23,Auto Loan,162649,36,13.4,5511,1735,2020-03-19,Default,1,60,1236692,23,Divorced,High School,13,664019,54826,9,0,2911299,1490525,0.96,2,6,1,0,0,0,17,588525,135,23,Poor,0,0.89,19,70,708934,729361,Irregular,113152,75096,72332,0.364,7,5,123,91,9,Poor,0.3769,0,0,15,60,60,1-30 DPD,31-60 DPD,0,2,Vehicle,248183.0,0.6554,,11.0,Tier-3,No
LOAN00024,24,Home Loan,1209101,72,12.88,24195,22207,2021-02-04,Active,0,36,686916,13,Single,Graduate,19,797026,106808,9,4,81223,1271277,0.92,1,3,1,1,0,1,57,1209366,222,44,Average,0,0.78,9,42,880317,882375,Bi-Monthly,57470,51152,48889,0.8238,1,2,131,31,5,Average,0.7452,0,0,30,30,30,31-60 DPD,1-30 DPD,0,17,Residential Property,2134380.0,0.5665,Villa,,Tier-3,Yes
