Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,Collateral_Value,LTV_Ratio,NPA_Flag,Default,Default_Date,Disbursal_Date,Loan_Status,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Negative_Balance_Days,UPI_Txn_Count_3M,ECS_Mandate_Count,Paid_On_Time_Pct,Late_Payment_Count_12M,Max_DPD_3M,Max_DPD_6M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,No_of_Closed_Accounts,No_of_Inquiries_12M,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Newest_Trade_Open_Months
1,LOAN00001,31,1039828,8,Divorced,Postgraduate,6,559903,Personal Loan,631957,36,19.92,23460,Good,1,0.2,45,55,2,2129852,933596,0.44,3,1,0,0,0,247,3,646676,1,150,0,0,,,0,0,,2022-08-24,Active,563687,Irregular,170847,114138,14662,0.4687,3,9,2,0.8607,0,0,0,Current,Current,2,26,,,,,,5,3,34,1756241,56
2,LOAN00002,61,502118,16,Single,Graduate,20,723291,Personal Loan,659263,84,8.29,10370,Good,0,0.08,81,57,5,513119,117204,0.23,3,0,0,0,0,62,4,100472,1,123,0,0,,,0,0,,2021-06-17,Active,101959,Bi-Monthly,24924,21882,8708,0.275,4,22,7,0.8191,0,0,0,Current,Current,2,53,,,,,,5,5,41,482471,14
3,LOAN00003,50,2472824,16,Married,Graduate,5,326716,Business Loan,1740634,84,9.77,28690,Good,1,0.26,72,77,5,2041638,1201250,0.59,0,1,0,0,0,6,2,384659,1,153,0,0,2153426.541881968,0.81,0,0,,2022-03-27,Active,353749,Monthly,38717,35330,41192,0.4931,1,60,3,0.8921,0,0,0,Current,Current,3,42,Property,Residential,,Tier-3,No,9,2,26,2375581,23
4,LOAN00004,28,718156,7,Married,Graduate,22,319934,Auto Loan,776751,36,16.41,27465,Good,1,0.46,70,97,6,550266,358381,0.65,0,1,0,0,0,188,0,667395,1,133,0,0,876143.9099938443,0.89,0,0,,2021-05-06,Active,534963,Irregular,218841,135719,56903,0.7167,0,57,3,0.8197,0,0,0,Current,Current,1,31,Vehicle,,8.0,Tier-3,No,8,3,49,446946,40
5,LOAN00005,26,435234,14,Married,Postgraduate,10,134256,Personal Loan,556540,24,19.86,28287,Poor,5,0.97,44,20,2,1040941,104184,0.1,7,3,3,2,2,94,2,21658,5,104,90,4,,,1,1,2023-03-09,2020-06-12,Default,23608,Monthly,37409,34547,95301,0.3056,23,50,8,0.2797,7,60,60,90+ DPD,61-90 DPD,3,51,,,,,,2,8,5,644594,3
6,LOAN00006,59,471242,3,Married,Postgraduate,12,762772,Personal Loan,260127,48,12.3,6888,Good,0,0.39,48,89,13,1544241,817668,0.53,3,0,0,0,0,217,0,135791,0,80,0,0,,,0,0,,2020-08-28,Active,115757,Irregular,195909,122349,49913,0.2285,3,75,1,0.9836,0,0,0,Current,Current,1,45,,,,,,2,4,25,1366569,38
7,LOAN00007,33,1295517,19,Married,High School,13,728921,Auto Loan,1695761,36,20.2,63193,Good,0,0.07,63,86,5,526966,296012,0.56,2,1,0,0,0,163,5,265182,0,135,0,0,1904824.392398437,0.89,0,0,,2022-07-05,Active,311822,Monthly,36788,33605,1126,0.1011,2,78,7,0.9307,1,0,0,Current,Current,2,38,Vehicle,,0.0,Tier-1,Yes,9,6,47,446694,6
8,LOAN00008,54,526388,22,Single,Postgraduate,19,607151,Home Loan,1859223,84,12.73,33550,Good,0,0.47,85,61,12,2393858,875317,0.37,0,1,0,0,0,14,4,679230,1,55,0,0,2198824.617785149,0.85,0,0,,2020-03-10,Active,691109,Monthly,72960,67192,70433,0.7869,3,6,3,0.9567,0,0,0,Current,Current,3,31,Property,Commercial,,Tier-1,Yes,6,1,28,2508304,54
9,LOAN00009,27,2153840,28,Single,Graduate,3,568383,Business Loan,249235,48,14.52,6875,Average,0,0.12,68,67,6,2100126,779115,0.37,2,1,0,0,0,210,1,178181,1,118,0,0,328389.3383506919,0.76,0,0,,2022-06-30,Active,142664,Bi-Monthly,100619,73167,68948,0.4618,4,44,9,0.9081,1,0,0,Current,Current,0,14,Property,Commercial,,Tier-3,Yes,0,5,15,2314632,41
10,LOAN00010,33,1427385,9,Single,Postgraduate,13,619608,Business Loan,1625601,12,21.34,151631,Average,1,0.2,98,83,7,98164,34762,0.35,3,0,0,0,0,17,1,455784,0,155,0,0,2006119.550704045,0.81,0,0,,2021-11-06,Active,536899,Monthly,69397,64382,23545,0.6615,4,72,9,0.8336,0,0,0,Current,Current,3,13,Property,Residential,,Tier-2,Yes,5,4,37,98049,20
11,LOAN00011,33,1012582,8,Married,Postgraduate,20,750024,Home Loan,403862,12,13.85,36233,Average,1,0.31,71,76,1,2554618,1165576,0.46,0,0,0,0,0,98,0,207031,1,61,0,0,486506.5487260029,0.83,0,0,,2021-05-27,Active,176620,Irregular,49029,36633,41079,0.7007,2,26,4,0.8301,0,0,0,Current,Current,1,39,Property,Commercial,,Tier-3,No,1,0,36,3014495,42
12,LOAN00012,33,306929,16,Married,Graduate,13,28298,Auto Loan,363841,12,16.39,33078,Good,1,0.51,46,65,10,2164676,1622537,0.75,1,1,0,0,0,207,2,523719,1,35,0,0,519121.9005404511,0.7,0,0,,2020-11-12,Active,593675,Monthly,247388,165873,4293,0.7967,3,4,7,0.9532,0,0,0,Current,Current,0,23,Vehicle,,7.0,Tier-3,Yes,0,3,25,1490241,19
13,LOAN00013,50,1355556,20,Single,High School,6,479149,Auto Loan,823870,36,21.1,31081,Average,1,0.55,61,64,0,2522782,1198878,0.48,2,0,0,0,0,124,0,626539,1,24,0,0,1089536.347222155,0.76,0,0,,2022-05-10,Active,583753,Irregular,113155,97830,12162,0.7017,2,9,9,0.8859,0,0,0,Current,Current,1,37,Vehicle,,8.0,Tier-3,No,1,3,13,1683797,7
14,LOAN00014,61,632868,29,Divorced,Graduate,1,46546,Personal Loan,929710,36,11.7,30746,Good,0,0.44,66,80,11,1824996,1633223,0.89,1,0,0,0,0,119,5,57253,0,119,0,0,,,0,0,,2020-02-02,Active,58811,Monthly,117308,64382,31105,0.3058,0,57,6,0.9,0,0,0,Current,Current,3,43,,,,,,2,2,34,1284616,1
