index,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,MOB,Vintage_Q,Bad_A,Bad_B,Bad_Flag,Good_Flag
42,LOAN00056,56,Home Loan,1822272,24,13.73,87260,15712,2021-01-02,Active,0,32,351662,23,Married,High School,4,909457,1289,5,4,1397603,1309177,0.18,4,6,1,1,0,3,23,293217,108,25,Average,1,0.67,98,72,957913,928402,Monthly,28287,23330,130643,0.6358,0,1,36,87,0,Average,0.7433,1,0,30,30,30,31-60 DPD,1-30 DPD,0,13,Residential Property,2640039.0,0.6902,Apartment,,Tier-1,Yes,24,2021Q1,0,0,0,1
234,LOAN00308,308,Personal Loan,1145049,48,16.01,32456,12843,2019-12-06,Active,0,50,1062383,4,Single,High School,7,597724,195873,1,0,2668556,2492373,0.98,3,5,0,0,0,0,20,69693,211,55,Average,4,0.47,15,78,548412,540618,Monthly,93616,109019,31349,0.4522,0,4,10,72,2,Average,0.6948,4,4,0,60,90,Current,31-60 DPD,3,46,,,,,,,,37,2019Q4,0,1,0,1
230,LOAN00303,303,Personal Loan,720652,48,7.44,17404,13637,2019-01-25,Default,1,40,1912684,4,Single,Graduate,18,13917,192873,2,3,911046,1259821,0.16,1,4,0,0,0,2,2,1229515,219,33,Good,0,0.26,71,46,1000,5795,,171018,128284,1538,0.347,6,11,171,70,8,Good,0.8308,0,0,0,15,15,Current,Current,0,42,,,,,,,,47,2019Q1,1,0,1,0
174,LOAN00224,224,Home Loan,1235648,12,12.81,110254,21432,2021-06-28,Active,0,34,332590,2,Single,Graduate,12,420975,153828,3,7,809885,1301073,0.42,0,3,1,0,0,0,33,925092,234,16,Good,1,0.52,9,94,490467,484757,Monthly,26681,28238,51693,0.1985,3,2,23,67,7,Good,0.9537,1,1,15,15,60,1-30 DPD,Current,0,32,Residential Property,1379435.0,0.8958,Apartment,,Tier-2,No,18,2021Q2,0,0,0,1
371,LOAN00484,484,Home Loan,255956,24,7.0,11459,3995,2020-02-18,Default,1,25,1618732,4,Married,Graduate,18,92722,353848,4,0,2212755,74294,0.64,0,3,1,0,0,0,4,276628,23,4,Average,1,0.31,35,80,141612,112734,Monthly,145853,114544,24900,0.3107,3,6,93,55,0,Average,0.7053,1,0,15,15,15,1-30 DPD,Current,0,32,Residential Property,399818.0,0.6402,Apartment,,Tier-3,Yes,34,2020Q1,1,0,1,0
321,LOAN00421,421,Auto Loan,573994,48,9.85,14516,9187,2020-04-09,Default,1,32,353745,5,Married,High School,2,151730,330680,10,1,1491275,1242666,0.61,1,3,1,1,1,0,4,1468002,87,51,Average,0,0.51,66,85,123955,143967,Monthly,30308,21337,23879,0.7805,3,11,124,55,3,Average,0.554,0,0,60,90,90,61-90 DPD,61-90 DPD,0,63,Vehicle,679290.0,0.845,,1.0,Tier-1,Yes,33,2020Q2,1,1,1,0
233,LOAN00307,307,Auto Loan,604753,36,15.82,21207,9298,2020-06-19,Active,0,60,1076194,14,Single,Postgraduate,3,797645,45905,6,5,1076924,1175485,0.53,2,7,1,1,1,1,39,1940558,174,48,Poor,4,0.25,74,7,848468,846594,Monthly,93268,43776,10758,0.665,1,2,69,79,5,Poor,0.2323,4,4,90,90,90,90+ DPD,61-90 DPD,0,4,Vehicle,908435.0,0.6657,,9.0,Tier-2,Yes,30,2020Q2,0,1,0,1
109,LOAN00136,136,Business Loan,1485055,24,9.04,67871,13809,2021-04-28,NPA,1,36,467821,26,Married,Graduate,8,644734,353611,9,7,1229117,2427190,0.38,4,8,1,1,1,0,27,675333,219,35,Average,2,0.87,36,2,738073,711325,Irregular,37173,22577,147432,0.656,6,18,105,66,6,Average,0.6546,2,2,60,60,60,61-90 DPD,31-60 DPD,0,19,Inventory,2300449.0,0.6456,,,Tier-1,Yes,20,2021Q2,1,0,1,0
369,LOAN00481,481,Home Loan,1017432,24,14.29,48989,16840,2019-07-25,Active,0,31,2267878,20,Married,Postgraduate,14,604801,103993,1,1,2102259,1281688,0.21,2,3,1,1,1,2,22,1471208,140,33,Good,0,0.89,63,98,683620,674458,,179400,195462,149077,0.6141,2,2,172,53,8,Good,0.8981,0,0,60,60,60,61-90 DPD,31-60 DPD,0,15,Residential Property,1377294.0,0.7387,Independent House,,Tier-1,Yes,41,2019Q3,0,0,0,1
323,LOAN00426,426,Home Loan,1440468,72,8.69,25744,25580,2019-02-07,Default,1,30,1579441,13,Single,Graduate,6,137916,52477,8,2,2030295,642809,0.2,4,5,2,2,1,2,2,1121285,134,50,Good,3,0.36,37,2,141830,169044,,126363,142274,31604,0.2148,4,4,126,91,7,Good,0.8985,3,3,60,90,90,61-90 DPD,61-90 DPD,0,58,Residential Property,2518598.0,0.5719,Apartment,,Tier-1,Yes,47,2019Q1,1,1,1,0
231,LOAN00305,305,Education Loan,969042,36,13.72,32987,14002,2020-10-15,Active,0,33,225398,12,Married,Graduate,3,524173,134845,2,1,1344073,982786,0.77,4,7,1,1,1,0,51,1558510,150,49,Good,0,0.37,89,77,474501,472346,,17911,13110,24939,0.4161,1,0,21,53,1,Good,0.8929,0,0,60,60,60,61-90 DPD,31-60 DPD,0,66,,,,,,,,26,2020Q4,0,0,0,1
46,LOAN00060,60,Business Loan,500777,24,10.3,23177,5950,2021-06-23,Default,1,56,221449,5,Divorced,PhD,13,65776,136863,3,4,2482867,1125086,0.17,1,3,0,0,0,0,30,736699,156,12,Average,1,0.07,46,85,30222,42176,Irregular,18057,8894,4555,0.7548,7,8,63,43,2,Average,0.6589,1,0,0,30,30,Current,1-30 DPD,0,33,Inventory,752076.0,0.6659,,,Tier-1,No,18,2021Q2,1,0,1,0
58,LOAN00076,76,Auto Loan,475809,24,12.37,22480,6921,2019-06-26,NPA,1,32,1291423,28,Married,High School,9,401083,327533,8,4,186037,1690321,0.12,4,5,0,0,0,0,2,1160374,47,47,Poor,0,0.28,73,34,356736,346104,,113421,96808,65103,0.7656,7,6,78,33,9,Poor,0.5901,0,0,0,0,0,Current,Current,0,47,Vehicle,843628.0,0.564,,4.0,Tier-2,Yes,42,2019Q2,1,0,1,0
204,LOAN00267,267,Personal Loan,104344,72,7.0,1778,600,2021-05-06,Default,1,52,2356969,20,Married,High School,1,531743,111172,8,3,817297,118706,0.53,2,7,1,0,0,0,31,1087129,84,6,Average,4,0.55,58,42,487283,493548,Bi-Monthly,213550,95363,77131,0.3621,2,4,165,36,2,Average,0.7185,4,4,15,30,30,1-30 DPD,1-30 DPD,0,26,,,,,,,,20,2021Q2,1,0,1,0
295,LOAN00388,388,Home Loan,735831,12,16.15,66814,14148,2021-02-03,Active,0,47,928068,13,Married,High School,19,149516,405285,1,4,811319,535309,0.43,1,1,2,2,1,0,3,516241,18,14,Average,0,0.57,81,19,129563,132282,Monthly,78187,89710,17427,0.7604,2,0,29,1,1,Average,0.849,0,0,90,90,90,90+ DPD,61-90 DPD,1,14,Residential Property,1283537.0,0.5733,Villa,,Tier-1,Yes,23,2021Q1,0,1,0,1
368,LOAN00480,480,Business Loan,450667,36,10.18,14579,3888,2020-03-02,Default,1,52,679468,12,Single,PhD,16,326305,433387,4,6,2004040,1928072,0.96,3,4,0,0,0,0,12,1712457,117,20,Average,0,0.96,10,47,426032,412293,Monthly,55406,22368,111031,0.4901,4,10,50,30,2,Average,0.8198,0,0,0,60,60,Current,31-60 DPD,0,58,Commercial Property,678820.0,0.6639,,,Tier-2,No,34,2020Q1,1,0,1,0
264,LOAN00347,347,Home Loan,254748,48,12.75,6802,5072,2019-10-08,Active,0,51,2372490,10,Single,PhD,10,791152,341330,10,4,2242459,1086863,0.91,3,6,1,0,0,2,0,855255,209,41,Average,3,0.0,51,80,797456,785147,Bi-Monthly,208771,185984,218025,0.4522,1,0,49,13,5,Average,0.7701,3,3,15,15,15,1-30 DPD,Current,0,57,Residential Property,389498.0,0.654,Independent House,,Tier-2,Yes,39,2019Q4,0,0,0,1
359,LOAN00469,469,Home Loan,377753,36,14.01,12912,7157,2021-06-09,Active,0,59,2481533,20,Single,High School,11,511304,332758,4,5,112537,771235,0.35,0,1,0,0,0,0,27,180195,142,18,Good,1,0.78,84,5,572294,553823,Monthly,187474,167345,129392,0.527,3,3,111,0,5,Good,0.9238,1,0,0,0,15,Current,Current,0,62,Residential Property,636546.0,0.5934,Apartment,,Tier-1,Yes,19,2021Q2,0,0,0,1
130,LOAN00163,163,Business Loan,598624,60,12.89,13586,10489,2021-06-15,Default,1,36,2315701,22,Divorced,Graduate,16,838651,38685,7,0,215759,359197,0.1,0,1,0,0,0,1,17,1935274,136,1,Poor,0,0.8,38,34,913817,923495,Monthly,189611,160051,99440,0.7946,6,9,78,15,1,Poor,0.4666,0,0,0,15,15,Current,Current,0,1,Machinery,792183.0,0.7557,,,Tier-3,No,18,2021Q2,1,0,1,0
229,LOAN00301,301,Business Loan,837871,12,10.1,73701,5196,2020-07-17,Active,0,25,613322,20,Married,Graduate,5,681099,483692,2,1,1146881,11489,0.18,2,7,1,0,0,0,54,1560642,192,33,Good,3,0.02,71,79,700211,702235,Monthly,55052,31713,40272,0.2547,2,2,134,59,7,Good,0.8662,3,3,15,30,30,1-30 DPD,1-30 DPD,0,49,Commercial Property,1396572.0,0.5999,,,Tier-3,Yes,29,2020Q3,0,0,0,1
