index,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,MOB,Vintage_Q,Bad_A,Bad_B,Bad_Flag,Good_Flag
10.0,LOAN00012,12,Personal Loan,209672.0,12,10.08,18441.0,2798,2021-12-23,Active,0,22.0,558907.0,7.0,Divorced,PhD,2,841501.0,301930,1,1,1123763.0,2116327.0,0.25,0,4,0,0,0,0,9.0,1971744.0,165.0,18,Good,2,0.7,18.0,52.0,901055.0,898018,Irregular,44088.0,24485.0,141142.0,0.3074,2,0,121,96,2,Good,0.8127,2,1,0,15,15,Current,Current,0,46,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,12,2021Q4,0,0,0,1
12.0,LOAN00018,18,Auto Loan,115620.0,12,7.0,10004.0,1207,2021-09-29,Active,0,21.0,1486684.0,21.0,Married,PhD,18,741687.0,235969,10,1,1340534.0,1749554.0,0.26,0,4,0,0,0,2,18.0,1604525.0,125.0,36,Good,0,0.9669,3.0,71.0,794295.0,818330,Monthly,124651.0,140587.0,73525.0,0.7237,1,4,169,62,8,Good,0.8397,0,0,0,0,60,Current,Current,0,35,Vehicle,176278.0,0.6559,No_Collateral,3.0,Tier-2,Yes,15,2021Q3,0,0,0,1
20.0,LOAN00029,29,Personal Loan,253687.0,12,12.79,22633.0,1582,2021-08-03,NPA,1,30.0,1574910.0,7.0,Single,Postgraduate,6,427651.0,299771,2,6,1885673.0,1105425.0,0.73,3,5,0,0,0,2,28.0,1894860.0,28.0,28,Average,4,0.42,77.0,45.0,392044.0,418572,Monthly,140822.0,63850.0,62543.0,0.5151,7,7,116,98,5,Average,0.813,4,4,0,30,30,Current,1-30 DPD,0,70,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,17,2021Q3,1,0,1,0
24.0,LOAN00035,35,Business Loan,1412279.0,24,15.19,68604.0,20665,2021-12-18,Active,0,43.0,774648.0,1.0,Married,Graduate,13,534981.0,8099,11,5,1877919.0,1772203.0,0.1,2,6,0,0,0,0,2.0,1369115.0,129.0,1,Poor,0,0.02,5.0,50.0,577661.0,571786,,58511.0,44443.0,141542.0,0.8519,3,4,140,85,2,Poor,0.2613,0,0,0,60,60,Current,31-60 DPD,2,35,Inventory,1789194.0,0.7893,No_Collateral,0.0,Tier-3,Yes,12,2021Q4,0,0,0,1
26.0,LOAN00038,38,Home Loan,1143100.0,12,9.78,100379.0,10533,2021-08-18,Default,1,33.0,1781145.0,9.0,Single,Graduate,4,800666.0,387514,3,2,1706173.0,2165726.0,0.31,0,3,1,1,1,0,44.0,1446104.0,194.0,58,Good,2,0.19,12.0,43.0,765870.0,740152,Monthly,145153.0,96098.0,214569.0,0.189,4,16,140,63,0,Good,0.8935,2,2,90,90,90,90+ DPD,61-90 DPD,0,36,Residential Property,1483028.0,0.7708,Apartment,0.0,Tier-2,No,16,2021Q3,1,1,1,0
35.0,LOAN00048,48,Home Loan,1802395.0,24,11.17,84148.0,26241,2021-12-30,NPA,1,33.0,612346.0,11.0,Married,Postgraduate,18,506147.0,231849,6,4,368399.0,2181445.0,0.95,3,3,0,0,0,3,3.0,1275241.0,181.0,4,Poor,1,0.77,98.0,63.0,508427.0,480697,Monthly,46264.0,46430.0,89977.0,0.5741,7,10,36,29,2,Poor,0.4202,1,1,0,0,0,Current,Current,0,56,Residential Property,2827686.0,0.6374,Apartment,0.0,Tier-1,Yes,12,2021Q4,1,0,1,0
37.0,LOAN00050,50,Education Loan,917436.0,24,13.35,43767.0,15339,2021-08-04,Closed,0,33.0,1942438.0,3.0,Single,Graduate,11,647116.0,99914,8,4,178096.0,1238528.0,0.55,2,6,0,0,0,2,57.69,934858.0,212.0,15,Good,1,0.13,85.0,87.0,737443.0,721953,Irregular,173237.0,113407.0,144193.0,0.5718,2,2,13,86,1,Good,0.9511,1,1,0,30,30,Current,1-30 DPD,1,70,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,17,2021Q3,0,0,0,1
38.0,LOAN00051,51,Personal Loan,1053015.0,36,7.0,32514.0,14497,2021-11-28,NPA,1,56.0,1412707.0,15.0,Divorced,Postgraduate,11,295057.0,433697,8,3,520900.0,80568.0,0.46,1,3,0,0,0,3,50.0,1088241.0,59.0,13,Good,4,0.1,92.0,39.0,323990.0,300431,Monthly,121043.0,72532.0,20308.0,0.3003,7,16,47,49,9,Good,0.8084,4,3,0,0,90,Current,Current,0,66,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,13,2021Q4,1,1,1,0
40.0,LOAN00054,54,Personal Loan,825885.0,24,11.66,38746.0,7591,2021-08-05,Active,0,30.0,2479223.19,22.0,Married,Postgraduate,18,284752.0,158119,2,2,2016962.0,1189038.0,0.29,4,4,0,0,0,2,11.0,1039309.0,179.0,35,Good,0,0.4,42.0,5.0,344149.0,351136,Monthly,210077.32,221433.6,94097.0,0.4519,0,2,114,73,8,Good,0.9258,0,0,0,0,90,Current,Current,3,43,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,17,2021Q3,0,1,0,1
48.0,LOAN00063,63,Home Loan,741200.0,36,10.73,24171.0,9495,2021-10-27,Active,0,63.0,1514669.0,16.0,Divorced,Postgraduate,12,226776.0,277746,3,2,701815.0,1453599.0,0.5,2,2,0,0,0,3,18.0,1497250.0,90.0,23,Poor,5,0.9669,87.0,3.0,226755.0,248722,Bi-Monthly,135577.0,90468.0,39179.0,0.3124,2,1,131,3,9,Poor,0.4933,5,4,0,0,15,Current,Current,1,32,Residential Property,940425.0,0.7882,Independent House,0.0,Tier-1,Yes,14,2021Q4,0,0,0,1
