index,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,MOB,Vintage_Q,Bad_A,Bad_B,Bad_Flag,Good_Flag
42.0,LOAN00056,56,Home Loan,1822272.0,24,13.73,87260.0,15712.0,2021-01-02,Active,0,32.0,351662.0,23.0,Married,High School,4,909457.0,7410.380000000001,5,4,1397603.0,1309177.0,0.18,4,6,1,1,0,3,23.0,293217.0,108.0,25,Average,1,0.67,98.0,72.0,957913.0,928402.0,Monthly,28287.0,23330.0,130643.0,0.6358,0,1,36.0,87,0,Average,0.7433,1,0,30,30,30,31-60 DPD,1-30 DPD,0,13,Residential Property,2640039.0,0.6902,Apartment,0.0,Tier-1,Yes,24,2021Q1,0,0,0,1
234.0,LOAN00308,308,Personal Loan,1145049.0,48,16.01,32456.0,12843.0,2019-12-06,Active,0,50.0,1062383.0,4.0,Single,High School,7,597724.0,195873.0,1,0,2668556.0,2475980.67,0.9769,3,5,0,0,0,0,20.0,77908.62,211.0,55,Average,4,0.47,15.0,78.0,548412.0,540618.0,Monthly,93616.0,109019.0,31349.0,0.4522,0,4,10.0,72,2,Average,0.6948,4,4,0,60,90,Current,31-60 DPD,3,46,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,37,2019Q4,0,1,0,1
230.0,LOAN00303,303,Personal Loan,720652.0,48,7.44,17404.0,13637.0,2019-01-25,Default,1,40.0,1912684.0,4.0,Single,Graduate,18,23961.16,192873.0,2,3,911046.0,1259821.0,0.16,1,4,0,0,0,2,2.0,1229515.0,219.0,33,Good,0,0.26,71.0,46.0,28016.760000000002,34663.28,Monthly,171018.0,128284.0,1538.0,0.347,6,11,171.0,70,8,Good,0.8308,0,0,0,15,15,Current,Current,0,42,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,47,2019Q1,1,0,1,0
174.0,LOAN00224,224,Home Loan,1235648.0,12,12.81,110254.0,21432.0,2021-06-28,Active,0,34.0,332590.0,2.0,Single,Graduate,12,420975.0,153828.0,3,7,809885.0,1301073.0,0.42,0,3,1,0,0,0,33.0,925092.0,234.0,16,Good,1,0.52,9.0,94.0,490467.0,484757.0,Monthly,26681.0,28238.0,51693.0,0.1985,3,2,23.0,67,7,Good,0.9537,1,1,15,15,60,1-30 DPD,Current,0,32,Residential Property,1379435.0,0.8958,Apartment,0.0,Tier-2,No,18,2021Q2,0,0,0,1
371.0,LOAN00484,484,Home Loan,255956.0,24,7.0,11459.0,3995.0,2020-02-18,Default,1,25.0,1618732.0,4.0,Married,Graduate,18,92722.0,353848.0,4,0,2212755.0,74294.0,0.64,0,3,1,0,0,0,4.0,276628.0,23.0,4,Average,1,0.31,35.0,80.0,141612.0,112734.0,Monthly,145853.0,114544.0,24900.0,0.3107,3,6,93.0,55,0,Average,0.7053,1,0,15,15,15,1-30 DPD,Current,0,32,Residential Property,399818.0,0.6402,Apartment,0.0,Tier-3,Yes,34,2020Q1,1,0,1,0
321.0,LOAN00421,421,Auto Loan,573994.0,48,9.85,14516.0,9187.0,2020-04-09,Default,1,32.0,353745.0,5.0,Married,High School,2,151730.0,330680.0,10,1,1491275.0,1242666.0,0.61,1,3,1,1,1,0,4.0,1468002.0,87.0,51,Average,0,0.51,66.0,85.0,123955.0,143967.0,Monthly,30308.0,21337.0,23879.0,0.7805,3,11,124.0,55,3,Average,0.554,0,0,60,90,90,61-90 DPD,61-90 DPD,0,63,Vehicle,679290.0,0.845,No_Collateral,1.0,Tier-1,Yes,33,2020Q2,1,1,1,0
233.0,LOAN00307,307,Auto Loan,604753.0,36,15.82,21207.0,9298.0,2020-06-19,Active,0,60.0,1076194.0,14.0,Single,Postgraduate,3,797645.0,45905.0,6,5,1076924.0,1175485.0,0.53,2,7,1,1,1,1,39.0,1940558.0,174.0,48,Poor,4,0.25,74.0,7.0,848468.0,846594.0,Monthly,93268.0,43776.0,10758.0,0.665,1,2,69.0,79,5,Poor,0.2323,4,4,90,90,90,90+ DPD,61-90 DPD,0,4,Vehicle,908435.0,0.6657,No_Collateral,9.0,Tier-2,Yes,30,2020Q2,0,1,0,1
109.0,LOAN00136,136,Business Loan,1485055.0,24,9.04,67871.0,13809.0,2021-04-28,NPA,1,36.0,467821.0,26.0,Married,Graduate,8,644734.0,353611.0,9,7,1229117.0,2427190.0,0.38,4,8,1,1,1,0,27.0,675333.0,219.0,35,Average,2,0.87,36.0,2.0,738073.0,711325.0,Irregular,37173.0,22577.0,147432.0,0.656,6,18,105.0,66,6,Average,0.6546,2,2,60,60,60,61-90 DPD,31-60 DPD,0,19,Inventory,2300449.0,0.6456,No_Collateral,0.0,Tier-1,Yes,20,2021Q2,1,0,1,0
369.0,LOAN00481,481,Home Loan,1017432.0,24,14.29,48989.0,16840.0,2019-07-25,Active,0,31.0,2267878.0,20.0,Married,Postgraduate,14,604801.0,103993.0,1,1,2102259.0,1281688.0,0.21,2,3,1,1,1,2,22.0,1471208.0,140.0,33,Good,0,0.89,63.0,98.0,683620.0,674458.0,Monthly,179400.0,195462.0,149077.0,0.6141,2,2,172.0,53,8,Good,0.8981,0,0,60,60,60,61-90 DPD,31-60 DPD,0,15,Residential Property,1377294.0,0.7387,Independent House,0.0,Tier-1,Yes,41,2019Q3,0,0,0,1
323.0,LOAN00426,426,Home Loan,1440468.0,72,8.69,25744.0,25580.0,2019-02-07,Default,1,30.0,1579441.0,13.0,Single,Graduate,6,137916.0,52477.0,8,2,2030295.0,642809.0,0.2,4,5,2,2,1,2,2.0,1121285.0,134.0,50,Good,3,0.36,37.0,2.0,141830.0,169044.0,Monthly,126363.0,142274.0,31604.0,0.2148,4,4,126.0,91,7,Good,0.8985,3,3,60,90,90,61-90 DPD,61-90 DPD,0,58,Residential Property,2518598.0,0.5719,Apartment,0.0,Tier-1,Yes,47,2019Q1,1,1,1,0
