Default,PD,Score
0,0.004364310244048244,644
0,0.10072831890527544,550
0,0.004841860784857554,641
0,0.06179819078404387,566
0,0.4212948253794437,496
0,0.004096195697021143,646
0,0.3852807710030901,501
0,0.012722703601033952,613
1,0.27370405823024796,515
0,0.006616384133907209,632
0,0.004945286355299876,640
0,0.027985062331425857,589
0,0.1413038905348197,539
0,0.007377485480796472,629
0,0.0011194728436575519,683
1,0.05816368405190386,567
0,0.0066777451770748085,631
0,0.1476560999151225,538
0,0.10870659558486007,548
0,0.07513060772036508,560
0,0.004545975055839594,643
0,0.003446807052766303,651
0,0.01706353529415529,604
0,0.0005301490299743616,705
0,0.10593844077760775,549
0,0.00279011776646055,657
0,0.0015822620752587145,673
0,0.0041535674641347865,645
0,0.002636150997766516,658
0,0.018573378340123063,602
0,0.0013117935644494736,679
0,0.03317358866732777,584
0,0.3407663807018847,506
0,0.021184429061243654,598
0,0.0753182047871717,559
0,0.04880718903184505,573
0,0.07155324354813991,561
0,0.003638298119892175,649
0,0.007954191967052222,626
0,0.0010047882537654342,686
0,0.0015894050742687753,673
0,0.005319966978293709,638
0,0.2582265797598864,518
0,0.7324549496403705,458
0,0.013202341132971652,612
0,0.004896375709920858,640
0,0.12450219316257775,543
0,0.13211770042736748,541
0,0.1411978863610985,539
0,0.043440760501057996,576
0,0.06278408051614845,565
0,0.02946609660496663,588
0,0.02189198849248616,597
0,0.005812165725651881,635
0,0.05215819846972995,571
0,0.8789658870296054,430
0,0.06549744441367919,564
0,0.04110055576772937,578
0,0.12734674704249532,543
0,0.0693554395308691,562
0,0.12703014655748188,543
0,0.0047282225337600525,641
0,0.03617306745196749,582
1,0.7504252904724833,455
0,0.036852257755485306,581
0,0.10100226828113892,550
0,0.0017335426998498495,671
1,0.17092462724521437,533
0,0.006172534503999551,634
0,0.0007203609203776334,696
0,0.0008135095310379354,692
0,0.002191544259763327,664
0,0.0117325299348657,615
0,0.007144659279654962,629
0,0.013225379763933301,612
0,0.035962261521771725,582
0,0.0018725319173559243,668
0,0.0028389756767563143,656
0,0.018783066428527267,601
0,0.03182662429595225,586
1,0.4222767922815707,496
0,0.05122643390239074,571
0,0.001324285351894529,678
1,0.2175528031274505,524
0,0.002809919984216675,657
0,0.0011045591238127855,684
0,0.05354242029693222,570
0,0.019637669654738416,600
0,0.0010603289681572778,685
0,0.020286274789918925,599
0,0.017392955891967713,604
0,0.009652105673681452,621
0,0.02223826955310035,596
0,0.008892256874386894,623
0,0.17767474257989127,531
0,0.011680475478206095,615
0,0.0019197314865944612,668
0,0.026517565397288893,591
0,0.038018043605876586,580
0,0.011740657132462194,615
0,0.0030926786597471503,654
0,0.026307121115250288,591
0,0.01610042757689049,606
0,0.005460659674456242,637
0,0.19667364441161342,528
0,0.0479437778567126,573
0,0.0042167368784425605,645
0,0.0010297755357638152,686
