Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,Collateral_Value,LTV_Ratio,NPA_Flag,Default,Default_Date,Disbursal_Date,Loan_Status,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Negative_Balance_Days,UPI_Txn_Count_3M,ECS_Mandate_Count,Paid_On_Time_Pct,Late_Payment_Count_12M,Max_DPD_3M,Max_DPD_6M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,No_of_Closed_Accounts,No_of_Inquiries_12M,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Newest_Trade_Open_Months
843,LOAN00843,62,1281750,14,Married,Graduate,15,369532,Education Loan,1569863,24,9.78,72281,Average,1,0.48,36,98,12,1366949,1044503,0.76,3,0,0,0,0,58,2,596763,0,106,0,0,,,0,0,,2022-01-02,Active,657577,Monthly,150911,123087,41629,0.156,2,16,2,0.9675,1,0,0,Current,Current,0,37,,,,,,4,4,16,726347,17
784,LOAN00784,45,1396638,25,Married,Graduate,9,549647,Auto Loan,1883879,72,18.73,43748,Good,0,0.33,97,87,3,2397531,822007,0.34,3,0,0,0,0,143,4,56956,1,65,0,0,2357316.793884804,0.8,0,0,,2021-12-23,Active,50373,Monthly,207217,106405,47942,0.1479,0,39,6,0.902,0,0,0,Current,Current,2,44,Vehicle,,7.0,Tier-1,Yes,0,3,44,2784216,9
328,LOAN00328,27,865820,24,Divorced,High School,19,669827,Home Loan,251295,84,17.55,5215,Good,1,0.29,68,98,12,2505245,2147137,0.86,2,0,0,0,0,6,3,502229,1,129,0,0,326314.3439102745,0.77,0,0,,2020-10-18,Active,513297,Monthly,105559,74088,5746,0.2513,1,44,6,0.8488,1,0,0,Current,Current,0,17,Property,Commercial,,Tier-1,Yes,6,2,52,1830602,2
170,LOAN00170,26,398809,20,Single,Graduate,8,650252,Home Loan,525511,12,17.49,48051,Good,0,0.22,74,92,3,383576,139275,0.36,2,0,0,0,0,264,1,526882,0,78,0,0,596491.4499846983,0.88,0,0,,2020-03-11,Active,591086,Monthly,212918,129293,61891,0.3339,2,25,3,0.9447,0,0,0,Current,Current,4,56,Property,Commercial,,Tier-3,Yes,6,6,29,411587,15
575,LOAN00575,29,2210120,19,Married,High School,17,665873,Home Loan,206239,60,21.05,5585,Good,0,0.3,21,96,0,253317,25734,0.1,3,1,0,0,0,287,2,207360,1,22,0,0,238767.2164968947,0.86,0,0,,2020-11-07,Active,169923,Monthly,192848,170858,22724,0.142,4,45,7,0.9291,1,0,0,Current,Current,0,7,Property,Residential,,Tier-1,Yes,3,5,49,174616,23
576,LOAN00576,61,2131412,14,Married,Graduate,18,308409,Personal Loan,546062,84,10.77,9284,Good,1,0.33,23,68,8,68786,9661,0.14,0,0,0,0,0,151,3,469024,1,28,0,0,,,0,0,,2022-04-03,Active,446288,Monthly,35090,23504,73037,0.389,1,28,8,0.8853,0,0,0,Current,Current,0,5,,,,,,1,2,18,55164,49
234,LOAN00234,32,2194435,11,Single,High School,12,634701,Home Loan,1601041,36,9.24,51091,Average,0,0.46,35,81,2,2613502,866783,0.33,3,1,0,0,0,231,3,425903,0,84,0,0,2306709.042663577,0.69,0,0,,2021-08-13,Active,383352,Bi-Monthly,130603,88809,77823,0.7647,4,40,8,0.9737,1,0,0,Current,Current,3,49,Property,Residential,,Tier-3,Yes,5,6,43,2632897,33
688,LOAN00688,33,1534599,19,Married,High School,0,76084,Business Loan,1539628,24,21.83,79743,Good,0,0.36,64,92,1,1084663,936666,0.86,3,1,0,0,0,233,1,317574,0,182,0,0,1847203.108694728,0.83,0,0,,2020-10-31,Active,348139,Bi-Monthly,98047,76033,16274,0.6293,4,77,3,0.985,0,0,0,Current,Current,4,16,Property,Commercial,,Tier-3,Yes,2,5,23,564728,51
885,LOAN00885,57,1184703,24,Married,Graduate,16,746727,Home Loan,589539,84,11.35,10203,Good,0,0.16,97,87,3,1609814,1088686,0.68,3,0,0,0,0,233,3,155249,1,91,0,0,795683.2444401949,0.74,0,0,,2020-09-06,Active,155520,Monthly,58530,55462,80659,0.4752,1,59,6,0.9605,1,0,0,Current,Current,1,10,Property,Commercial,,Tier-2,Yes,8,5,35,1249672,21
82,LOAN00082,51,1736788,25,Divorced,Graduate,20,132036,Auto Loan,1381937,36,13.32,46776,Good,0,0.07,10,63,8,1223591,945187,0.77,0,0,0,0,0,187,4,585716,1,66,0,0,2027350.127935719,0.68,0,0,,2020-04-18,Active,674223,Bi-Monthly,159888,147563,85484,0.2846,1,52,2,0.9498,1,0,0,Current,Current,0,29,Vehicle,,3.0,Tier-1,Yes,8,3,35,805889,1
