Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,NPA_Flag,Default,Default_Date,Disbursal_Date,Loan_Status,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Negative_Balance_Days,UPI_Txn_Count_3M,ECS_Mandate_Count,Paid_On_Time_Pct,Late_Payment_Count_12M,Max_DPD_3M,Max_DPD_6M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,No_of_Closed_Accounts,No_of_Inquiries_12M,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Newest_Trade_Open_Months
843,LOAN00843,62.0,1281750.0,14,Married,Graduate,15,369532.0,Education Loan,1569863.0,24,9.78,72281.0,Average,1.0,0.48,36,98,12,1366949.0,1044503.0,0.76,3,0,0,0,0,58.0,2,596763.0,0,106,0,0,0,0,,2022-01-02,Active,657577.0,Monthly,150911.0,123087.0,41629.0,0.156,2,16,2,0.9675,1.0,0,0,Current,Current,0,37,4,4,16,726347.0,17
784,LOAN00784,45.0,1396638.0,25,Married,Graduate,9,549647.0,Auto Loan,1883879.0,72,18.73,43748.0,Good,0.0,0.33,97,87,3,2397531.0,822007.0,0.34,3,0,0,0,0,143.0,4,56956.0,1,65,0,0,0,0,,2021-12-23,Active,50373.0,Monthly,207217.0,106405.0,47942.0,0.1479,0,39,6,0.902,0.0,0,0,Current,Current,2,44,0,3,44,2784216.0,9
328,LOAN00328,27.0,865820.0,24,Divorced,High School,19,669827.0,Home Loan,251295.0,84,17.55,5215.0,Good,1.0,0.29,68,98,12,2505245.0,2147137.0,0.86,2,0,0,0,0,13.0,3,502229.0,1,129,0,0,0,0,,2020-10-18,Active,513297.0,Monthly,105559.0,74088.0,5746.0,0.2513,1,44,6,0.8488,1.0,0,0,Current,Current,0,17,6,2,52,1830602.0,2
170,LOAN00170,26.0,398809.0,20,Single,Graduate,8,650252.0,Home Loan,525511.0,12,17.49,48051.0,Good,0.0,0.22,74,92,3,383576.0,139275.0,0.36,2,0,0,0,0,264.0,1,526882.0,0,78,0,0,0,0,,2020-03-11,Active,591086.0,Monthly,212918.0,129293.0,61891.0,0.3339,2,25,3,0.9447,0.0,0,0,Current,Current,4,56,6,6,29,411587.0,15
575,LOAN00575,29.0,2210120.0,19,Married,High School,17,665873.0,Home Loan,206239.0,60,21.05,5585.0,Good,0.0,0.3,21,96,0,253317.0,26009.31,0.1,3,1,0,0,0,287.0,2,207360.0,1,22,0,0,0,0,,2020-11-07,Active,169923.0,Monthly,192848.0,170858.0,22724.0,0.142,4,45,7,0.9291,1.0,0,0,Current,Current,0,7,3,5,49,174616.0,23
576,LOAN00576,61.0,2131412.0,14,Married,Graduate,18,308409.0,Personal Loan,546062.0,84,10.77,9284.0,Good,1.0,0.33,23,68,8,68786.0,26009.31,0.14,0,0,0,0,0,151.0,3,469024.0,1,28,0,0,0,0,,2022-04-03,Active,446288.0,Monthly,35090.0,23504.0,73037.0,0.389,1,28,8,0.8853,0.0,0,0,Current,Current,0,5,1,2,18,55164.0,49
234,LOAN00234,32.0,2194435.0,11,Single,High School,12,634701.0,Home Loan,1601041.0,36,9.24,51091.0,Average,0.0,0.46,35,81,2,2613502.0,866783.0,0.33,3,1,0,0,0,231.0,3,425903.0,0,84,0,0,0,0,,2021-08-13,Active,383352.0,Bi-Monthly,130603.0,88809.0,77823.0,0.7647,4,40,8,0.9737,1.0,0,0,Current,Current,3,49,5,6,43,2632897.0,33
688,LOAN00688,33.0,1534599.0,19,Married,High School,0,76084.0,Business Loan,1539628.0,24,21.83,79743.0,Good,0.0,0.36,64,92,1,1084663.0,936666.0,0.86,3,1,0,0,0,233.0,1,317574.0,0,182,0,0,0,0,,2020-10-31,Active,348139.0,Bi-Monthly,98047.0,76033.0,16274.0,0.6293,4,77,3,0.985,0.0,0,0,Current,Current,4,16,2,5,23,564728.0,51
885,LOAN00885,57.0,1184703.0,24,Married,Graduate,16,746727.0,Home Loan,589539.0,84,11.35,10203.0,Good,0.0,0.16,97,87,3,1609814.0,1088686.0,0.68,3,0,0,0,0,233.0,3,155249.0,1,91,0,0,0,0,,2020-09-06,Active,155520.0,Monthly,58530.0,55462.0,80659.0,0.4752,1,59,6,0.9605,1.0,0,0,Current,Current,1,10,8,5,35,1249672.0,21
82,LOAN00082,51.0,1736788.0,25,Divorced,Graduate,20,132036.0,Auto Loan,1381937.0,36,13.32,46776.0,Good,0.0,0.07,10,63,8,1223591.0,945187.0,0.77,0,0,0,0,0,187.0,4,585716.0,1,66,0,0,0,0,,2020-04-18,Active,674223.0,Bi-Monthly,159888.0,147563.0,85484.0,0.2846,1,52,2,0.9498,1.0,0,0,Current,Current,0,29,8,3,35,805889.0,1
