feature,vif
Total_Credit_Limit,1.9209629861687876
Max_Credit_Exposure,1.8475569507862952
Income_INR,1.33127507260236
Savings_Account_Balance,1.310009092366147
Outstanding_Loans,1.2841844537954938
Total_Current_Balance,1.185210060140548
EMI_Amount,1.1496311385298972
No_of_Open_Accounts,1.1380949252039192
Credit_History_Length,1.1109104617064798
Loan_Tenure_Months,1.1087239074837547
Credit_Utilization_Ratio,1.1056980855187215
Total_EMI_Paid,1.0935958360115332
Cash_Withdrawal_3M,1.0849174633097387
Merchant_Spend_Pct,1.0835342876212177
Employment_Years,1.0679235939699316
No_of_Closed_Accounts,1.064841102090868
Oldest_Trade_Open_Months,1.0617272149939312
Monthly_Spend,1.0577335993564683
Behavior_Spending_Score,1.057078699417135
UPI_Txn_Count_3M,1.0563842287945013
Loan_Amount,1.0558857999941103
ECS_Mandate_Count,1.0497001544251894
Transaction_Count_3M,1.044716247985623
Newest_Trade_Open_Months,1.0429998607104345
Avg_Monthly_Salary_Credit,1.0419127142728737
Interest_Rate_Pct,1.0352114452546533
Age,1.0272536176666298
